tgl,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Des
1,W,,,,,,,,,,,
2,SW,,,,,,,,,,,
3,W,,,,,,,,,,,
4,SW,,,,,,,,,,,
5,W,,,,,,,,,,,
6,W,,,,,,,,,,,
7,W,,,,,,,,,,,
8,W,,,,,,,,,,,
9,W,,,,,,,,,,,
10,W,,,,,,,,,,,
11,W,,,,,,,,,,,
12,W,,,,,,,,,,,
13,W,,,,,,,,,,,
14,SW,,,,,,,,,,,
15,W,,,,,,,,,,,
16,S,,,,,,,,,,,
17,SW,,,,,,,,,,,
18,W,,,,,,,,,,,
19,W,,,,,,,,,,,
20,W,,,,,,,,,,,
21,NW,,,,,,,,,,,
22,W,,,,,,,,,,,
23,W,,,,,,,,,,,
24,W,,,,,,,,,,,
25,W,,,,,,,,,,,
26,W,,,,,,,,,,,
27,SW,,,,,,,,,,,
28,W,,,,,,,,,,,
29,W,,,,,,,,,,,
30,S,,,,,,,,,,,
31,NW,,,,,,,,,,,
Rata,W,,,,,,,,,,,
