tgl,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Des
1,27.3,,,,,,,,,,,
2,26.8,,,,,,,,,,,
3,26.6,,,,,,,,,,,
4,26.6,,,,,,,,,,,
5,27.5,,,,,,,,,,,
6,27.4,,,,,,,,,,,
7,27.4,,,,,,,,,,,
8,27.4,,,,,,,,,,,
9,26.7,,,,,,,,,,,
10,25.8,,,,,,,,,,,
11,25.9,,,,,,,,,,,
12,25.7,,,,,,,,,,,
13,25.1,,,,,,,,,,,
14,26.5,,,,,,,,,,,
15,27.1,,,,,,,,,,,
16,28.2,,,,,,,,,,,
17,26.2,,,,,,,,,,,
18,26.4,,,,,,,,,,,
19,25.8,,,,,,,,,,,
20,24.9,,,,,,,,,,,
21,25.9,,,,,,,,,,,
22,26.6,,,,,,,,,,,
23,26.1,,,,,,,,,,,
24,27.5,,,,,,,,,,,
25,27.6,,,,,,,,,,,
26,26.3,,,,,,,,,,,
27,26.6,,,,,,,,,,,
28,26.6,,,,,,,,,,,
29,27,,,,,,,,,,,
30,27.5,,,,,,,,,,,
31,27,,,,,,,,,,,
Rata,26.6,,,,,,,,,,,
M a x,28.2,,,,,,,,,,,
Tgl Max,16,,,,,,,,,,,
M i n,24.9,,,,,,,,,,,
