Tanggal,level_0,index,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,rr,ws_avg,ws_max,wd_avg,Arah_Mata_Angin,sr_avg,sr_max
1/1/2023 0:00,0,0,31.12,24.27,22.69,91,995.9,0,0.948,1.499,68.92,E,117.9,
1/1/2023 1:00,6,6,,25.53,24.26,84.8,996.5479,0,0.918,2.081,71.51,E,208.3,228.1
1/1/2023 2:00,12,12,28.18,27.81,24.26,72.73,996.4531,0,0.531,1.265,89.2,E,388.1,670.2
1/1/2023 3:00,18,18,29.47,29.26,24.26,63.87,996.5285,0,0.951,2.499,187.9,S,584.3,768
1/1/2023 4:00,24,24,30.67,30.26,24.26,62,995.747,0,1.786,3.274,263.8,W,941,
1/1/2023 5:00,30,30,31.98,31.63,24.26,54.45,994.0006,0,2.036,4.733,252.4,W,619.1,
1/1/2023 6:00,36,36,32.53,32.04,24.26,54.64,992.6376,0,1.536,3.295,256.7,W,514.7,
1/1/2023 7:00,42,42,32.53,30.24,24.26,69.74,992.3841,0,2.811,4.61,212,SW,431.6,
1/1/2023 8:00,48,48,32.53,28.83,24.26,75.58,992.1601,0,2.262,4.213,226.7,SW,333.2,
1/1/2023 9:00,54,54,32.53,28.71,24.26,75.92,992.3903,0,2.96,5.62,230.9,SW,297.3,
1/1/2023 10:00,60,60,32.53,,24.26,78.27,993.4674,0,1.696,4.182,226.7,SW,48.16,
1/1/2023 11:00,66,66,32.53,26.83,24.26,83.8,994.3107,0,1.62,3.233,237,SW,1.107,
1/1/2023 12:00,72,72,32.53,26.25,24.26,86.8,994.9044,0,0.746,1.571,224.7,SW,0,
1/2/2023 0:00,144,144,32.53,,,90.1,996.1066,2.6,0.611,1.153,161.8,S,159.9,
1/2/2023 1:00,150,150,,26.74,,81.4,997.0166,0,0.748,1.601,262,W,347,513.1
1/2/2023 2:00,156,156,28.6,28.48,,72.16,996.7741,0,1.608,3.805,271.7,W,451.6,558.4
1/2/2023 3:00,162,162,29.7,29.5,,63.71,995.823,0,2.195,4.478,264.8,W,713.7,828
1/2/2023 4:00,168,168,30.18,29.8,,64.34,995.5381,0,2.491,6.263,256.7,W,690.6,898
1/2/2023 5:00,174,174,30.39,30.07,,63.94,995.1213,0,2.735,4.702,252.6,W,542.1,962
1/2/2023 6:00,180,180,30.45,30.06,,66.44,994.1971,0,2.314,4.549,233.8,SW,551.5,962
1/2/2023 7:00,186,186,30.45,29.32,,68.57,993.8305,0,2.56,5.335,236.7,SW,399.7,962
1/2/2023 8:00,192,192,30.45,28.29,,76.46,993.3407,0,2.768,4.967,228.1,SW,235.3,962
1/2/2023 9:00,198,198,30.45,27.89,,76.57,993.5826,0,2.446,4.712,236.9,SW,181.7,962
1/2/2023 10:00,204,204,30.45,27.61,,78.26,994.027,0,1.753,3.692,237.7,SW,54.91,962
1/2/2023 11:00,210,210,30.45,27.16,,81.6,994.8773,0,1.84,4.06,234.4,SW,0.96,962
1/2/2023 12:00,216,216,30.45,,,87.4,995.7764,0,0.974,1.867,239.5,SW,0,962
1/3/2023 0:00,288,288,30.45,24.85,23.71,91.6,996.3963,10.4,0.532,1.173,152.4,SE,102.8,962
1/3/2023 1:00,294,294,,26.47,24.9,84.3,997.011,1.2,0.998,3.784,260.3,W,118.5,299.3
1/3/2023 2:00,300,300,,,24.63,84.7,997.109,2.4,0.827,1.591,247.8,W,450.2,697.4
1/3/2023 3:00,306,306,27.76,,24.63,83.6,996.7581,4.6,1.072,2.836,240.7,SW,751.6,
1/3/2023 4:00,312,312,29.35,28.41,24.63,72.33,995.7115,4.6,2.369,4.712,253.1,W,448.3,
1/3/2023 5:00,318,318,29.35,28.81,24.63,70.36,994.8761,4.6,2.37,4.386,257.5,W,458.6,
1/3/2023 6:00,324,324,29.35,28.74,24.63,72.75,994.2794,4.6,2.002,4.284,239.7,SW,426,
1/3/2023 7:00,330,330,29.35,28.49,24.63,72.36,993.4157,4.6,2.117,5.161,246.4,SW,349.1,
