level_0,index,Tanggal,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,rr,ws_avg,ws_max,wd_avg,Arah_Mata_Angin,sr_avg,sr_max
0,0,2023-01-01 00:00:00,31.12,24.27,22.69,91.0,995.9,0.0,0.948,1.499,68.92,E,117.9,
1,1,2023-01-01 00:10:00,,24.52,24.26,91.0,995.9526,0.0,1.015,1.897,68.84,E,138.8,156.0
2,2,2023-01-01 00:20:00,,24.75,24.26,88.9,996.0287,0.0,1.229,1.765,83.5,E,168.8,205.9
3,3,2023-01-01 00:30:00,,25.09,24.26,88.9,996.168,0.0,0.872,1.765,80.8,E,139.2,205.9
4,4,2023-01-01 00:40:00,,,24.26,88.4,996.3016,0.0,0.948,1.918,75.05,E,163.6,205.9
5,5,2023-01-01 00:50:00,,25.36,24.26,87.3,996.4606,0.0,1.025,2.407,81.6,E,167.8,205.9
6,6,2023-01-01 01:00:00,,25.53,24.26,84.8,996.5479,0.0,0.918,2.081,71.51,E,208.3,228.1
7,7,2023-01-01 01:10:00,,,24.26,81.0,996.6586,0.0,0.963,2.06,85.2,E,286.2,394.1
8,8,2023-01-01 01:20:00,,26.38,24.26,78.95,996.6826,0.0,1.206,2.111,81.3,E,465.8,599.5
9,9,2023-01-01 01:30:00,,27.12,24.26,77.78,996.7031,0.0,0.807,1.499,103.8,E,426.7,670.2
10,10,2023-01-01 01:40:00,,,24.26,75.74,996.6181,0.0,0.733,1.683,90.4,E,350.5,670.2
11,11,2023-01-01 01:50:00,,27.4,24.26,75.62,996.5907,0.0,0.598,1.173,78.08,E,284.0,670.2
12,12,2023-01-01 02:00:00,28.18,27.81,24.26,72.73,996.4531,0.0,0.531,1.265,89.2,E,388.1,670.2
13,13,2023-01-01 02:10:00,28.18,27.85,24.26,67.92,996.4211,0.0,0.489,1.255,215.7,SW,397.3,670.2
14,14,2023-01-01 02:20:00,28.87,28.26,24.26,66.73,996.4491,0.0,0.693,1.744,186.2,S,507.2,670.2
15,15,2023-01-01 02:30:00,29.02,28.7,24.26,65.28,996.4319,0.0,1.028,1.948,163.3,S,512.3,670.2
16,16,2023-01-01 02:40:00,29.16,28.78,24.26,65.51,996.4514,0.0,0.783,2.152,266.6,W,455.3,670.2
17,17,2023-01-01 02:50:00,29.16,29.0,24.26,64.63,996.5076,0.0,0.962,2.693,194.0,S,432.5,670.2
18,18,2023-01-01 03:00:00,29.47,29.26,24.26,63.87,996.5285,0.0,0.951,2.499,187.9,S,584.3,768.0
19,19,2023-01-01 03:10:00,29.6,29.47,24.26,62.5,996.4471,0.0,1.513,4.029,199.1,S,624.2,853.0
20,20,2023-01-01 03:20:00,29.93,29.58,24.26,62.02,996.4146,0.0,1.3,2.662,269.9,W,849.0,941.0
21,21,2023-01-01 03:30:00,30.1,29.93,24.26,62.02,996.3111,0.0,1.605,2.978,244.8,SW,744.2,941.0
22,22,2023-01-01 03:40:00,30.1,29.74,24.26,61.79,996.1536,0.0,1.641,3.019,245.7,SW,643.0,
23,23,2023-01-01 03:50:00,30.48,30.06,24.26,62.24,995.9787,0.0,1.876,3.611,247.6,W,944.0,
24,24,2023-01-01 04:00:00,30.67,30.26,24.26,62.0,995.747,0.0,1.786,3.274,263.8,W,941.0,
25,25,2023-01-01 04:10:00,30.87,30.59,24.26,60.99,995.4427,0.0,1.938,3.876,237.1,SW,,
26,26,2023-01-01 04:20:00,30.87,30.4,24.26,61.33,995.2938,0.0,1.549,2.713,249.5,W,474.8,
27,27,2023-01-01 04:30:00,30.92,30.56,24.26,58.49,995.0534,0.0,2.039,4.376,251.5,W,718.0,
28,28,2023-01-01 04:40:00,31.07,30.9,24.26,55.99,994.6998,0.0,2.041,4.61,253.0,W,767.2,
29,29,2023-01-01 04:50:00,31.81,31.32,24.26,55.79,994.3624,0.0,1.692,3.376,261.4,W,576.5,
30,30,2023-01-01 05:00:00,31.98,31.63,24.26,54.45,994.0006,0.0,2.036,4.733,252.4,W,619.1,
31,31,2023-01-01 05:10:00,31.98,31.51,24.26,54.45,993.7178,0.0,2.163,5.396,275.8,W,860.0,
32,32,2023-01-01 05:20:00,32.06,31.72,24.26,54.93,993.3299,0.0,1.505,3.488,218.7,SW,600.2,
33,33,2023-01-01 05:30:00,32.06,31.66,24.26,54.07,993.1288,0.0,1.852,3.978,268.2,W,870.0,
34,34,2023-01-01 05:40:00,32.16,31.87,24.26,53.97,993.0178,0.0,1.915,3.815,279.5,W,846.0,
35,35,2023-01-01 05:50:00,32.41,32.22,24.26,54.03,992.8684,0.0,1.412,3.142,276.2,W,784.8,
36,36,2023-01-01 06:00:00,32.53,32.04,24.26,54.64,992.6376,0.0,1.536,3.295,256.7,W,514.7,
37,37,2023-01-01 06:10:00,32.53,32.27,24.26,53.5,992.5018,0.0,1.419,3.437,261.4,W,550.5,
38,38,2023-01-01 06:20:00,32.53,32.12,24.26,52.19,992.3734,0.0,1.971,3.794,289.5,W,700.5,
39,39,2023-01-01 06:30:00,32.53,32.08,24.26,53.48,992.2893,0.0,1.876,3.703,265.2,W,667.7,
40,40,2023-01-01 06:40:00,32.53,31.8,24.26,56.6,992.2344,0.0,1.729,3.529,244.1,SW,447.5,
41,41,2023-01-01 06:50:00,32.53,30.96,24.26,66.39,992.3183,0.0,2.641,5.885,213.1,SW,404.3,
42,42,2023-01-01 07:00:00,32.53,30.24,24.26,69.74,992.3841,0.0,2.811,4.61,212.0,SW,431.6,
43,43,2023-01-01 07:10:00,32.53,29.92,24.26,70.95,992.2541,0.0,2.729,5.049,220.1,SW,434.6,
44,44,2023-01-01 07:20:00,32.53,29.68,24.26,71.87,992.1993,0.0,2.459,4.835,224.1,SW,332.3,
45,45,2023-01-01 07:30:00,32.53,29.11,24.26,73.79,992.2445,0.0,2.578,4.957,228.6,SW,297.7,
46,46,2023-01-01 07:40:00,32.53,29.05,24.26,74.74,992.2868,0.0,1.993,4.151,218.1,SW,313.3,
47,47,2023-01-01 07:50:00,32.53,29.03,24.26,74.76,992.1879,0.0,2.164,3.968,221.5,SW,302.6,
48,48,2023-01-01 08:00:00,32.53,28.83,24.26,75.58,992.1601,0.0,2.262,4.213,226.7,SW,333.2,
49,49,2023-01-01 08:10:00,32.53,28.78,24.26,75.44,992.3688,0.0,2.681,5.345,227.3,SW,379.4,
50,50,2023-01-01 08:20:00,32.53,28.85,24.26,75.06,992.4839,0.0,3.278,5.335,220.8,SW,321.2,
51,51,2023-01-01 08:30:00,32.53,28.62,24.26,75.38,992.5042,0.0,2.839,4.723,229.5,SW,321.7,
52,52,2023-01-01 08:40:00,32.53,28.49,24.26,75.85,992.405,0.0,3.007,5.069,227.6,SW,305.3,
53,53,2023-01-01 08:50:00,32.53,28.73,24.26,75.95,992.3888,0.0,2.548,4.029,229.9,SW,340.7,
54,54,2023-01-01 09:00:00,32.53,28.71,24.26,75.92,992.3903,0.0,2.96,5.62,230.9,SW,297.3,
55,55,2023-01-01 09:10:00,32.53,28.51,24.26,76.99,992.5046,0.0,2.705,4.876,226.6,SW,241.7,
56,56,2023-01-01 09:20:00,32.53,28.39,24.26,77.28,992.683,0.0,2.329,5.12,226.8,SW,216.9,
