Tanggal,level_0,index,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,rr,ws_avg,ws_max,wd_avg,Arah_Mata_Angin,sr_avg,sr_max
2023-01-01 00:00:00,0,0,31.12,24.27,22.69,91.0,995.9,0.0,0.948,1.499,68.92,E,117.9,
2023-01-01 01:00:00,6,6,,25.53,24.26,84.8,996.5479,0.0,0.918,2.081,71.51,E,208.3,228.1
2023-01-01 02:00:00,12,12,28.18,27.81,24.26,72.73,996.4531,0.0,0.531,1.265,89.2,E,388.1,670.2
2023-01-01 03:00:00,18,18,29.47,29.26,24.26,63.87,996.5285,0.0,0.951,2.499,187.9,S,584.3,768.0
2023-01-01 04:00:00,24,24,30.67,30.26,24.26,62.0,995.747,0.0,1.786,3.274,263.8,W,941.0,
2023-01-01 05:00:00,30,30,31.98,31.63,24.26,54.45,994.0006,0.0,2.036,4.733,252.4,W,619.1,
2023-01-01 06:00:00,36,36,32.53,32.04,24.26,54.64,992.6376,0.0,1.536,3.295,256.7,W,514.7,
2023-01-01 07:00:00,42,42,32.53,30.24,24.26,69.74,992.3841,0.0,2.811,4.61,212.0,SW,431.6,
2023-01-01 08:00:00,48,48,32.53,28.83,24.26,75.58,992.1601,0.0,2.262,4.213,226.7,SW,333.2,
2023-01-01 09:00:00,54,54,32.53,28.71,24.26,75.92,992.3903,0.0,2.96,5.62,230.9,SW,297.3,
2023-01-01 10:00:00,60,60,32.53,,24.26,78.27,993.4674,0.0,1.696,4.182,226.7,SW,48.16,
2023-01-01 11:00:00,66,66,32.53,26.83,24.26,83.8,994.3107,0.0,1.62,3.233,237.0,SW,1.107,
2023-01-01 12:00:00,72,72,32.53,26.25,24.26,86.8,994.9044,0.0,0.746,1.571,224.7,SW,0.0,
2023-01-01 13:00:00,78,78,32.53,,24.26,85.2,995.6855,0.0,1.272,2.336,240.4,SW,0.0,
2023-01-01 14:00:00,84,84,32.53,25.95,24.26,88.4,996.1018,0.0,0.473,0.979,250.9,W,0.0,
2023-01-01 15:00:00,90,90,32.53,25.53,24.26,92.0,995.7084,0.0,0.493,0.959,63.74,NE,0.0,
2023-01-01 16:00:00,96,96,32.53,25.38,24.26,94.1,995.3396,1.2,0.275,0.653,269.0,W,0.0,
2023-01-01 17:00:00,102,102,32.53,,24.26,95.0,995.0121,2.2,0.205,0.959,267.6,W,0.0,
2023-01-01 18:00:00,108,108,32.53,24.78,24.26,96.1,994.1118,2.6,0.381,0.775,115.5,SE,0.0,
2023-01-01 19:00:00,114,114,32.53,24.51,24.26,95.5,993.3238,2.6,0.124,0.857,147.5,SE,0.0,
2023-01-01 20:00:00,120,120,32.53,23.98,23.9,96.0,993.4968,2.6,0.0,0.0,201.7,S,0.0,
2023-01-01 21:00:00,126,126,32.53,,23.69,96.2,993.9823,2.6,0.118,0.602,113.2,SE,0.0,
2023-01-01 22:00:00,132,132,32.53,23.75,,95.8,994.4573,2.6,0.473,1.0,89.4,E,0.0,
2023-01-01 23:00:00,138,138,32.53,23.91,,95.4,995.5693,2.6,0.109,0.928,187.1,S,11.04,
2023-01-02 00:00:00,144,144,32.53,,,90.1,996.1066,2.6,0.611,1.153,161.8,S,159.9,
2023-01-02 01:00:00,150,150,,26.74,,81.4,997.0166,0.0,0.748,1.601,262.0,W,347.0,513.1
2023-01-02 02:00:00,156,156,28.6,28.48,,72.16,996.7741,0.0,1.608,3.805,271.7,W,451.6,558.4
2023-01-02 03:00:00,162,162,29.7,29.5,,63.71,995.823,0.0,2.195,4.478,264.8,W,713.7,828.0
2023-01-02 04:00:00,168,168,30.18,29.8,,64.34,995.5381,0.0,2.491,6.263,256.7,W,690.6,898.0
2023-01-02 05:00:00,174,174,30.39,30.07,,63.94,995.1213,0.0,2.735,4.702,252.6,W,542.1,962.0
2023-01-02 06:00:00,180,180,30.45,30.06,,66.44,994.1971,0.0,2.314,4.549,233.8,SW,551.5,962.0
2023-01-02 07:00:00,186,186,30.45,29.32,,68.57,993.8305,0.0,2.56,5.335,236.7,SW,399.7,962.0
2023-01-02 08:00:00,192,192,30.45,28.29,,76.46,993.3407,0.0,2.768,4.967,228.1,SW,235.3,962.0
2023-01-02 09:00:00,198,198,30.45,27.89,,76.57,993.5826,0.0,2.446,4.712,236.9,SW,181.7,962.0
2023-01-02 10:00:00,204,204,30.45,27.61,,78.26,994.027,0.0,1.753,3.692,237.7,SW,54.91,962.0
