Tanggal,N,NE,E,SE,S,SW,W,NW,Arah_Mata_Angin_Dominan,count
2023-01-01,1,10,24,11,13,60,25,0,SW,60
2023-01-02,0,0,2,5,7,63,65,2,W,65
2023-01-03,0,3,5,11,7,64,53,1,SW,64
2023-01-04,0,10,18,7,9,53,47,0,SW,53
2023-01-05,0,11,12,13,14,59,23,0,SW,59
2023-01-06,0,7,7,10,7,63,45,3,SW,63
2023-01-07,0,6,22,7,9,70,29,0,SW,70
2023-01-08,0,9,12,6,8,75,14,14,SW,75
2023-01-09,0,2,6,6,14,63,34,11,SW,63
2023-01-10,0,8,21,10,14,55,32,4,SW,55
2023-01-11,1,6,12,12,11,75,18,8,SW,75
2023-01-12,0,0,4,2,7,28,5,0, ,98
2023-01-13,0,2,9,13,16,73,28,2,SW,73
2023-01-14,1,9,13,7,10,80,23,0,SW,80
2023-01-15,0,15,13,8,9,62,33,2,SW,62
2023-01-16,0,11,25,20,16,50,20,0,SW,50
2023-01-17,1,17,18,16,8,38,43,1,W,43
2023-01-18,0,18,18,6,5,62,34,0,SW,62
2023-01-19,0,22,23,8,10,67,12,1,SW,67
2023-01-20,0,18,11,21,17,45,27,5,SW,45
2023-01-21,0,16,18,17,18,58,14,3,SW,58
2023-01-22,0,10,12,10,13,57,40,2,SW,57
2023-01-23,1,17,6,10,7,75,24,4,SW,75
2023-01-24,0,12,13,7,8,77,27,0,SW,77
2023-01-25,0,16,16,11,8,52,35,3,SW,52
2023-01-26,0,15,25,18,20,39,25,2,SW,39
2023-01-27,0,28,50,4,4,47,10,0,E,50
2023-01-28,0,43,46,12,13,20,8,1,E,46
2023-01-29,0,33,68,19,4,13,6,0,E,68
2023-01-30,0,7,5,4,17,85,24,2,SW,85
2023-01-31,0,7,23,20,4,53,37,0,SW,53
